=== CALIBRATION PARAMETERS ===
Scale X: 1.000000
Scale Y: 1.234756
Center X: -9.500000
Center Y: -45.685976
Data Points: 502
Timestamp: 20250711_092534

=== RAW AND CALIBRATED DATA ===
Index, Raw_X, Raw_Y, Calibrated_X, Calibrated_Y
321, -98.000000, 109.000000, -88.500000, 180.274390
322, -143.000000, 79.000000, -133.500000, 143.231707
323, -176.000000, 55.000000, -166.500000, 113.597561
324, -196.000000, 18.000000, -186.500000, 67.911585
325, -207.000000, -18.000000, -197.500000, 23.460366
326, -206.000000, -48.000000, -196.500000, -13.582317
327, -200.000000, -64.000000, -190.500000, -33.338415
328, -200.000000, -69.000000, -190.500000, -39.512195
329, -199.000000, -73.000000, -189.500000, -44.451220
330, -204.000000, -62.000000, -194.500000, -30.868902
331, -202.000000, -48.000000, -192.500000, -13.582317
332, -204.000000, -26.000000, -194.500000, 13.582317
333, -206.000000, 4.000000, -196.500000, 50.625000
334, -188.000000, 41.000000, -178.500000, 96.310976
335, -166.000000, 62.000000, -156.500000, 122.240854
336, -138.000000, 90.000000, -128.500000, 156.814024
337, -100.000000, 106.000000, -90.500000, 176.570122
338, -58.000000, 120.000000, -48.500000, 193.856707
339, -5.000000, 122.000000, 4.500000, 196.326220
340, 53.000000, 117.000000, 62.500000, 190.152439
341, 101.000000, 94.000000, 110.500000, 161.753049
342, 143.000000, 63.000000, 152.500000, 123.475610
343, 167.000000, 31.000000, 176.500000, 83.963415
344, 184.000000, -12.000000, 193.500000, 30.868902
345, 190.000000, -50.000000, 199.500000, -16.051829
346, 180.000000, -92.000000, 189.500000, -67.911585
347, 157.000000, -126.000000, 166.500000, -109.893293
348, 132.000000, -151.000000, 141.500000, -140.762195
349, 95.000000, -178.000000, 104.500000, -174.100610
350, 46.000000, -189.000000, 55.500000, -187.682927
351, 13.000000, -190.000000, 22.500000, -188.917683
352, -27.000000, -187.000000, -17.500000, -185.213415
353, -70.000000, -174.000000, -60.500000, -169.161585
354, -96.000000, -170.000000, -86.500000, -164.222561
355, -111.000000, -163.000000, -101.500000, -155.579268
356, -114.000000, -160.000000, -104.500000, -151.875000
357, -109.000000, -165.000000, -99.500000, -158.048780
358, -99.000000, -168.000000, -89.500000, -161.753049
359, -71.000000, -180.000000, -61.500000, -176.570122
360, -28.000000, -191.000000, -18.500000, -190.152439
361, 28.000000, -191.000000, 37.500000, -190.152439
362, 78.000000, -177.000000, 87.500000, -172.865854
363, 128.000000, -153.000000, 137.500000, -143.231707
364, -210.000000, -19.000000, -200.500000, 22.225610
365, -198.000000, -58.000000, -188.500000, -25.929878
366, -191.000000, -81.000000, -181.500000, -54.329268
367, -181.000000, -103.000000, -171.500000, -81.493902
368, -168.000000, -118.000000, -158.500000, -100.015244
369, -165.000000, -125.000000, -155.500000, -108.658537
370, -169.000000, -123.000000, -159.500000, -106.189024
371, -171.000000, -126.000000, -161.500000, -109.893293
372, -174.000000, -115.000000, -164.500000, -96.310976
373, -174.000000, -112.000000, -164.500000, -92.606707
374, -182.000000, -100.000000, -172.500000, -77.789634
375, -187.000000, -88.000000, -177.500000, -62.972561
376, -197.000000, -75.000000, -187.500000, -46.920732
377, -203.000000, -57.000000, -193.500000, -24.695122
378, -205.000000, -24.000000, -195.500000, 16.051829
379, -202.000000, 5.000000, -192.500000, 51.859756
380, -195.000000, 14.000000, -185.500000, 62.972561
381, -201.000000, 20.000000, -191.500000, 70.381098
382, -200.000000, 10.000000, -190.500000, 58.033537
383, -207.000000, -16.000000, -197.500000, 25.929878
384, -207.000000, -38.000000, -197.500000, -1.234756
385, -199.000000, -73.000000, -189.500000, -44.451220
386, -187.000000, -98.000000, -177.500000, -75.320122
387, -169.000000, -123.000000, -159.500000, -106.189024
388, -156.000000, -133.000000, -146.500000, -118.536585
389, -155.000000, -132.000000, -145.500000, -117.301829
390, -163.000000, -130.000000, -153.500000, -114.832317
391, -170.000000, -123.000000, -160.500000, -106.189024
392, -179.000000, -110.000000, -169.500000, -90.137195
393, -191.000000, -90.000000, -181.500000, -65.442073
394, -202.000000, -59.000000, -192.500000, -27.164634
395, -205.000000, -15.000000, -195.500000, 27.164634
396, -196.000000, 26.000000, -186.500000, 77.789634
397, -172.000000, 59.000000, -162.500000, 118.536585
398, -142.000000, 90.000000, -132.500000, 156.814024
399, -90.000000, 111.000000, -80.500000, 182.743902
400, -35.000000, 122.000000, -25.500000, 196.326220
401, -1.000000, 121.000000, 8.500000, 195.091463
402, 46.000000, 115.000000, 55.500000, 187.682927
403, 87.000000, 101.000000, 96.500000, 170.396341
404, 127.000000, 79.000000, 136.500000, 143.231707
405, 152.000000, 51.000000, 161.500000, 108.658537
406, 177.000000, 11.000000, 186.500000, 59.268293
407, 186.000000, -21.000000, 195.500000, 19.756098
408, 191.000000, -48.000000, 200.500000, -13.582317
409, 187.000000, -68.000000, 196.500000, -38.277439
410, 183.000000, -79.000000, 192.500000, -51.859756
411, 185.000000, -87.000000, 194.500000, -61.737805
412, 188.000000, -71.000000, 197.500000, -41.981707
413, 192.000000, -46.000000, 201.500000, -11.112805
414, 184.000000, -10.000000, 193.500000, 33.338415
415, 166.000000, 29.000000, 175.500000, 81.493902
416, 139.000000, 68.000000, 148.500000, 129.649390
417, 93.000000, 100.000000, 102.500000, 169.161585
418, 44.000000, 117.000000, 53.500000, 190.152439
419, -6.000000, 124.000000, 3.500000, 198.795732
420, -56.000000, 119.000000, -46.500000, 192.621951
421, -105.000000, 106.000000, -95.500000, 176.570122
422, -149.000000, 84.000000, -139.500000, 149.405488
423, -187.000000, 46.000000, -177.500000, 102.484756
424, -207.000000, -7.000000, -197.500000, 37.042683
425, -199.000000, -52.000000, -189.500000, -18.521341
426, -184.000000, -96.000000, -174.500000, -72.850610
427, -167.000000, -125.000000, -157.500000, -108.658537
428, -162.000000, -139.000000, -152.500000, -125.945122
429, -160.000000, -135.000000, -150.500000, -121.006098
430, -159.000000, -135.000000, -149.500000, -121.006098
431, -158.000000, -135.000000, -148.500000, -121.006098
432, -167.000000, -127.000000, -157.500000, -111.128049
433, -177.000000, -112.000000, -167.500000, -92.606707
434, -196.000000, -79.000000, -186.500000, -51.859756
435, -204.000000, -22.000000, -194.500000, 18.521341
436, -182.000000, 43.000000, -172.500000, 98.780488
437, -144.000000, 86.000000, -134.500000, 151.875000
438, -93.000000, 111.000000, -83.500000, 182.743902
439, -38.000000, 122.000000, -28.500000, 196.326220
440, 19.000000, 125.000000, 28.500000, 200.030488
441, 61.000000, 106.000000, 70.500000, 176.570122
442, 107.000000, 94.000000, 116.500000, 161.753049
443, 138.000000, 70.000000, 147.500000, 132.118902
444, 151.000000, 49.000000, 160.500000, 106.189024
445, 170.000000, 27.000000, 179.500000, 79.024390
446, 176.000000, 19.000000, 185.500000, 69.146341
447, 187.000000, 4.000000, 196.500000, 50.625000
448, 188.000000, -4.000000, 197.500000, 40.746951
449, 180.000000, -2.000000, 189.500000, 43.216463
450, 182.000000, 4.000000, 191.500000, 50.625000
451, 180.000000, 13.000000, 189.500000, 61.737805
452, 179.000000, 6.000000, 188.500000, 53.094512
453, 190.000000, -15.000000, 199.500000, 27.164634
454, 188.000000, -38.000000, 197.500000, -1.234756
455, 189.000000, -75.000000, 198.500000, -46.920732
456, 169.000000, -107.000000, 178.500000, -86.432927
457, 154.000000, -135.000000, 163.500000, -121.006098
458, 131.000000, -158.000000, 140.500000, -149.405488
459, 109.000000, -169.000000, 118.500000, -162.987805
460, 87.000000, -176.000000, 96.500000, -171.631098
461, 71.000000, -183.000000, 80.500000, -180.274390
462, 55.000000, -187.000000, 64.500000, -185.213415
463, 35.000000, -186.000000, 44.500000, -183.978659
464, 16.000000, -193.000000, 25.500000, -192.621951
465, -6.000000, -194.000000, 3.500000, -193.856707
466, -25.000000, -194.000000, -15.500000, -193.856707
467, -35.000000, -192.000000, -25.500000, -191.387195
468, -28.000000, -190.000000, -18.500000, -188.917683
469, -16.000000, -186.000000, -6.500000, -183.978659
470, 5.000000, -194.000000, 14.500000, -193.856707
471, 38.000000, -193.000000, 47.500000, -192.621951
472, 77.000000, -179.000000, 86.500000, -175.335366
473, 125.000000, -155.000000, 134.500000, -145.701220
474, 170.000000, -115.000000, 179.500000, -96.310976
475, 191.000000, -48.000000, 200.500000, -13.582317
476, -126.000000, 101.000000, -116.500000, 170.396341
477, -134.000000, 92.000000, -124.500000, 159.283537
478, -138.000000, 92.000000, -128.500000, 159.283537
479, -141.000000, 90.000000, -131.500000, 156.814024
480, -142.000000, 86.000000, -132.500000, 151.875000
481, -140.000000, 91.000000, -130.500000, 158.048780
482, -142.000000, 89.000000, -132.500000, 155.579268
483, -139.000000, 88.000000, -129.500000, 154.344512
484, -147.000000, 84.000000, -137.500000, 149.405488
485, -162.000000, 70.000000, -152.500000, 132.118902
486, -180.000000, 48.000000, -170.500000, 104.954268
487, -198.000000, 22.000000, -188.500000, 72.850610
488, -203.000000, -8.000000, -193.500000, 35.807927
489, -207.000000, -39.000000, -197.500000, -2.469512
490, -210.000000, -48.000000, -200.500000, -13.582317
491, -208.000000, -57.000000, -198.500000, -24.695122
492, -203.000000, -49.000000, -193.500000, -14.817073
493, -205.000000, -36.000000, -195.500000, 1.234756
494, -205.000000, -15.000000, -195.500000, 27.164634
495, -196.000000, 17.000000, -186.500000, 66.676829
496, -169.000000, 66.000000, -159.500000, 127.179878
497, -117.000000, 102.000000, -107.500000, 171.631098
