=== MAGNETIC COMPASS CALIBRATION RESULTS ===

Algorithm: Horizontal Projection with Simple Scaling
Calibration Time: 2025-07-12 16:06:22
Data Points: 426

CALIBRATION PARAMETERS:
Scale X: 0.929887
Scale Y: 1.081548
Center X: -76.715963
Center Y: -51.836568

RAW DATA (MagX, MagY, MagZ, Pitch, Roll)
Processed Data (CalibratedX, CalibratedY)
================================================================================
88: Raw = [X: -54.00, Y: 91.00, Z: -140.00, Pitch: -1.64бу, Roll: -1.08бу] -> Calibrated = [X: 30.25, Y: 147.36]
89: Raw = [X: -54.00, Y: 84.00, Z: -139.00, Pitch: -1.60бу, Roll: -1.03бу] -> Calibrated = [X: 30.12, Y: 139.95]
90: Raw = [X: -52.00, Y: 93.00, Z: -137.00, Pitch: -1.55бу, Roll: -0.98бу] -> Calibrated = [X: 31.82, Y: 149.86]
91: Raw = [X: -51.00, Y: 89.00, Z: -138.00, Pitch: -1.51бу, Roll: -0.95бу] -> Calibrated = [X: 32.69, Y: 145.60]
92: Raw = [X: -55.00, Y: 86.00, Z: -140.00, Pitch: -1.49бу, Roll: -0.95бу] -> Calibrated = [X: 28.97, Y: 142.31]
93: Raw = [X: -52.00, Y: 88.00, Z: -134.00, Pitch: -1.49бу, Roll: -0.99бу] -> Calibrated = [X: 31.62, Y: 144.48]
94: Raw = [X: -53.00, Y: 90.00, Z: -137.00, Pitch: -1.50бу, Roll: -1.03бу] -> Calibrated = [X: 30.78, Y: 146.47]
95: Raw = [X: -48.00, Y: 92.00, Z: -137.00, Pitch: -1.49бу, Roll: -1.07бу] -> Calibrated = [X: 35.42, Y: 148.52]
96: Raw = [X: -53.00, Y: 87.00, Z: -138.00, Pitch: -1.49бу, Roll: -1.11бу] -> Calibrated = [X: 30.78, Y: 142.98]
97: Raw = [X: -46.00, Y: 87.00, Z: -138.00, Pitch: -1.48бу, Roll: -1.16бу] -> Calibrated = [X: 37.27, Y: 142.86]
98: Raw = [X: -36.00, Y: 87.00, Z: -145.00, Pitch: -1.47бу, Roll: -1.20бу] -> Calibrated = [X: 46.71, Y: 142.60]
99: Raw = [X: -24.00, Y: 82.00, Z: -148.00, Pitch: -1.42бу, Roll: -1.18бу] -> Calibrated = [X: 57.82, Y: 137.18]
100: Raw = [X: -12.00, Y: 76.00, Z: -152.00, Pitch: -1.39бу, Roll: -1.20бу] -> Calibrated = [X: 69.00, Y: 130.58]
101: Raw = [X: 15.00, Y: 59.00, Z: -158.00, Pitch: -1.38бу, Roll: -1.24бу] -> Calibrated = [X: 94.21, Y: 111.94]
102: Raw = [X: 40.00, Y: 42.00, Z: -172.00, Pitch: -1.39бу, Roll: -1.35бу] -> Calibrated = [X: 117.77, Y: 92.88]
103: Raw = [X: 73.00, Y: 14.00, Z: -186.00, Pitch: -1.41бу, Roll: -1.56бу] -> Calibrated = [X: 148.83, Y: 61.54]
104: Raw = [X: 103.00, Y: -32.00, Z: -197.00, Pitch: -1.44бу, Roll: -1.92бу] -> Calibrated = [X: 177.06, Y: 10.21]
105: Raw = [X: 110.00, Y: -70.00, Z: -204.00, Pitch: -1.39бу, Roll: -2.37бу] -> Calibrated = [X: 183.56, Y: -32.80]
106: Raw = [X: 113.00, Y: -113.00, Z: -217.00, Pitch: -1.24бу, Roll: -2.85бу] -> Calibrated = [X: 186.13, Y: -81.78]
107: Raw = [X: 101.00, Y: -142.00, Z: -219.00, Pitch: -0.99бу, Roll: -3.26бу] -> Calibrated = [X: 174.14, Y: -114.87]
108: Raw = [X: 86.00, Y: -161.00, Z: -213.00, Pitch: -0.65бу, Roll: -3.54бу] -> Calibrated = [X: 158.94, Y: -136.13]
109: Raw = [X: 77.00, Y: -179.00, Z: -216.00, Pitch: -0.33бу, Roll: -3.69бу] -> Calibrated = [X: 149.47, Y: -156.35]
110: Raw = [X: 67.00, Y: -186.00, Z: -215.00, Pitch: -0.09бу, Roll: -3.70бу] -> Calibrated = [X: 139.33, Y: -163.92]
