=== MAGNETIC COMPASS CALIBRATION RESULTS ===

Algorithm: Horizontal Projection with Simple Scaling
Calibration Time: 2025-07-12 16:12:18
Data Points: 600

CALIBRATION PARAMETERS:
Scale X: 0.928927
Scale Y: 1.082850
Center X: -75.887775
Center Y: -70.072810

RAW DATA (MagX, MagY, MagZ, Pitch, Roll)
Processed Data (CalibratedX, CalibratedY)
================================================================================
97: Raw = [X: -62.00, Y: -227.00, Z: -197.00, Pitch: 1.65бу, Roll: -2.79бу] -> Calibrated = [X: 13.03, Y: -185.72]
98: Raw = [X: -44.00, Y: -232.00, Z: -198.00, Pitch: 1.61бу, Roll: -2.91бу] -> Calibrated = [X: 29.88, Y: -191.63]
99: Raw = [X: -24.00, Y: -227.00, Z: -201.00, Pitch: 1.54бу, Roll: -3.01бу] -> Calibrated = [X: 48.60, Y: -186.79]
100: Raw = [X: -13.00, Y: -225.00, Z: -204.00, Pitch: 1.41бу, Roll: -3.12бу] -> Calibrated = [X: 59.16, Y: -185.20]
101: Raw = [X: 1.00, Y: -222.00, Z: -204.00, Pitch: 1.25бу, Roll: -3.20бу] -> Calibrated = [X: 72.69, Y: -182.29]
102: Raw = [X: 14.00, Y: -221.00, Z: -208.00, Pitch: 1.10бу, Roll: -3.27бу] -> Calibrated = [X: 85.17, Y: -181.72]
103: Raw = [X: 23.00, Y: -215.00, Z: -214.00, Pitch: 0.95бу, Roll: -3.31бу] -> Calibrated = [X: 93.96, Y: -175.76]
104: Raw = [X: 40.00, Y: -208.00, Z: -214.00, Pitch: 0.72бу, Roll: -3.34бу] -> Calibrated = [X: 110.55, Y: -168.30]
105: Raw = [X: 53.00, Y: -204.00, Z: -212.00, Pitch: 0.48бу, Roll: -3.33бу] -> Calibrated = [X: 123.47, Y: -163.81]
106: Raw = [X: 68.00, Y: -190.00, Z: -217.00, Pitch: 0.25бу, Roll: -3.31бу] -> Calibrated = [X: 138.19, Y: -148.90]
107: Raw = [X: 81.00, Y: -181.00, Z: -217.00, Pitch: -0.00бу, Roll: -3.27бу] -> Calibrated = [X: 151.14, Y: -139.00]
108: Raw = [X: 93.00, Y: -165.00, Z: -214.00, Pitch: -0.21бу, Roll: -3.23бу] -> Calibrated = [X: 163.02, Y: -121.36]
109: Raw = [X: 91.00, Y: -153.00, Z: -221.00, Pitch: -0.31бу, Roll: -3.22бу] -> Calibrated = [X: 161.53, Y: -108.74]
110: Raw = [X: 103.00, Y: -149.00, Z: -212.00, Pitch: -0.32бу, Roll: -3.24бу] -> Calibrated = [X: 172.66, Y: -103.94]
111: Raw = [X: 105.00, Y: -148.00, Z: -213.00, Pitch: -0.29бу, Roll: -3.27бу] -> Calibrated = [X: 174.44, Y: -103.05]
112: Raw = [X: 105.00, Y: -138.00, Z: -217.00, Pitch: -0.24бу, Roll: -3.32бу] -> Calibrated = [X: 174.25, Y: -92.68]
113: Raw = [X: 109.00, Y: -133.00, Z: -214.00, Pitch: -0.19бу, Roll: -3.37бу] -> Calibrated = [X: 177.78, Y: -87.29]
114: Raw = [X: 115.00, Y: -129.00, Z: -214.00, Pitch: -0.16бу, Roll: -3.41бу] -> Calibrated = [X: 183.29, Y: -83.12]
115: Raw = [X: 114.00, Y: -125.00, Z: -212.00, Pitch: -0.17бу, Roll: -3.42бу] -> Calibrated = [X: 182.35, Y: -78.70]
